CODIGO_MANTENEDORA,RAZAO_SOCIAL,CNPJ,NATUREZA_JURIDICA,CODIGO_IES,NOME_INSTITUICAO,SIGLA,TELEFONE,SITE,EMAIL,ENDERECO,MUNICIPIO,UF,ORGANIZACAO_ACADEMICA,TIPO_CREDENCIAMENTO,CATEGORIA,CATEGORIA_ADMINISTRATIVA,DATA_CRIACAO,CI,ANO_CI,CI_EAD,ANO_CI_EAD,IGC,ANO_IGC,REITOR,REPRESENTANTE_LEGAL,SINALIZACOES,SITUACAO
74,MUNICIPIO DE JUNDIAI,45.780.103/0001-50,Administração pública em geral,93,FACULDADE DE MEDICINA DE JUNDIAÍ (FMJ),FMJ,(11) 3395-2100,www.fmj.br,fmj@fmj.br,Rua Francisco Telles - 250 - CEP: 13202-550 - VILA ARENS,Jundiaí,SP,Faculdade,Presencial - Superior,Privada,Pública Municipal,1968-03-12,-,,-,,4,2021,,,,Ativa
300,FACULDADE DE MEDICINA DE MARILIA,66.495.110/0001-80,Pessoa Jurídica de Direito Público - Estadual,431,FACULDADE DE MEDICINA DE MARÍLIA (FAMEMA),FAMEMA,(14) 33112847,www.famema.br,"dirdivisaoacademica@famema.sp.gov.br, dirgeral@famema.sp.gov.br",Avenida Monte Carmelo - 800 - CEP: 17519-030 - FRAGATA C,Marília,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1967-01-30,-,,-,,4,2021,,,,Ativa
46,ESTADO DE SAO PAULO,46.379.400/0001-50,Pessoa Jurídica de Direito Público - Estadual,149,FACULDADE DE MEDICINA DE SÃO JOSÉ DO RIO PRETO (FAMERP),FAMERP,17 32015701,www.famerp.br,secretariageral@famerp.br,Avenida Brigadeiro Faria Lima - 5416 - CEP: 15090-000 - VILA SÃO PEDRO,São José do Rio Preto,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1968-02-16,-,,-,,5,2021,,,,Ativa
368,ESPIRITO SANTO SECRETARIA DE ESTADO DA EDUCACAO,27.080.563/0001-93,Pessoa Jurídica de Direito Público - Estadual,530,FACULDADE DE MÚSICA DO ESPÍRITO SANTO MAURÍCIO DE OLIVEIRA (FAMES),FAMES,(27) 3636-3600,www.fames.es.gov.br,aacademica@fames.es.gov.br;secretaria@fames.es.gov.br,Praça Américo Poli Monjardim - 60 - CEP: 29010-640 - Centro,Vitória,ES,Faculdade,Presencial - Superior,Publica,Pública Estadual,2014-05-13,-,,-,,2,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,23459,Faculdade de Tecnologia de Adamantina,-,(18)35224181,http://www.fatec.edu.br/adamantina/,f291dir@cps.sp.gov.br,Rua Paraná - 400 - CEP: 17800-000 - Jardim Brasil,Adamantina,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2018-05-27,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,35,"FACULDADE DE TECNOLOGIA DE AMERICANA ""MINISTRO RALPH BIASI"" (FATEC-AM)",FATEC-AM,(19)3406-5776/3406-5639,www.fatec.edu.br,f004acad@cps.sp.gov.br,Rua Emílio de Menezes - s/n - CEP: 13469-111 - Vila Amorim,Americana,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1986-09-09,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15697,Faculdade de Tecnologia de Araçatuba (FATEC Araçatuba),FATEC Araçatuba,1836259914,www.fatecaracatuba.edu.br,f177dir@cps.sp.gov.br,Avenida Prestes Maia - 1764 - CEP: 16052-045 - Ipanema,Araçatuba,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2008-01-22,-,,-,,3,2019,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,22939,Faculdade de Tecnologia de Araraquara (FATEC ARQ),FATEC ARQ,(16) 3339-7841,www.fatecararaquara.edu.br,f288acad@cps.sp.gov.br,Rua Precide Scarpino Martim - 126 - CEP: 14811-373 - Jardim Santa Clara (Vila Xavier),Araraquara,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2018-07-08,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,23438,Faculdade de Tecnologia de Araras,-,35413004,www.fatecararas.com.br,f290dir@cps.sp.gov.br,Rua Jarbas Leme de Godoy - 875 - CEP: 13606-389 - Jardim José Ometto II,Araras,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2017-07-08,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,19863,Faculdade de Tecnologia de Assis (FATEC Assis),FATEC Assis,18 3324-1607,www.fatecassis.edu.br,f275acad@cps.sp.gov.br,Unesp - Campus Assis - 2100 - CEP: 19806-900 - Parque Universitário,Assis,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2014-04-02,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,28986,Faculdade de Tecnologia de Barretos (FATEC-BAT),FATEC-BAT,(17) 3323-1099,https://www.facebook.com/FatecBarretos/,f298dir@cps.sp.gov.br,Rua 18 - 535 - CEP: 14780-060 - Centro,Barretos,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2021-09-10,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15757,Faculdade de Tecnologia de Barueri (Fatec Barueri),Fatec Barueri,11-41983121/3096/3086/3268,www.fatecbarueri.edu.br,f209dir@cps.sp.gov.br,Avenida Carlos Capriotti - 123 - CEP: 06401-136 - Centro,Barueri,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2010-07-01,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15689,Faculdade de Tecnologia de Bauru (FATEC),FATEC,14 32232083,www.fatecbauru.edu.br,op196@centropaulasouza.sp.gov.br,Rua Manoel Bento da Cruz - 30 - CEP: 17015-171 - Centro,Bauru,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2010-04-09,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,4020,FACULDADE DE TECNOLOGIA DE BOTUCATU (FATEC BT),FATEC BT,(14) 38143004,www.fatecbt.edu.br,danisley.roschel@fatec.sp.gov.br,Avenida José Ítalo Bachi - s/n - CEP: 18606-855 - Jardim Aeroporto,Botucatu,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1994-12-16,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,5633,FACULDADE DE TECNOLOGIA DE BRAGANÇA PAULISTA,-,11 40310628,www.fatecbpaulista.edu.br,f183acad@cps.sp.gov.br,Rua das Indústrias - 130 - CEP: 12926-674 - Uberaba,Bragança Paulista,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2008-09-02,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,19739,Faculdade de Tecnologia de Campinas (FATEC CAMPINAS),FATEC CAMPINAS,(19)3216-6474,http://www.fateccampinas.com.br/,f276acad@cps.sp.gov.br,Avenida Cônego Antônio Rocato - KM 3.5 - CEP: 13082-015 - Chácaras Campos dos Amarais,Campinas,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2014-04-02,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15704,Faculdade de Tecnologia de Capão Bonito (FATEC-CB),FATEC-CB,15 35422654,www.fateccb.edu.br,f174acad@cps.sp.gov.br,Avenida Péricles de Freitas - 296 - CEP: 18304-750 - Terras do Imbiruçu,Capão Bonito,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2008-01-22,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,16395,Faculdade de Tecnologia de Carapicuiba (FATEC),FATEC,(11) 4184-8404,www.fateccarapicuiba.edu.br,f143dir@cps.sp.gov.br;agerum@gmail.com,Avenida Francisco Pignatari - 650 - CEP: 06310-390 - Vila Gustavo Correia,Carapicuíba,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2007-05-09,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,16410,Faculdade de Tecnologia de Catanduva (FATEC Catanduva),FATEC Catanduva,551735247186,www.fateccatanduva.edu.br,f182acad@cps.sp.gov.br,Rua Maranhão - 898 - CEP: 15800-020 - Centro,Catanduva,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2008-09-02,-,,-,,4,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,19578,Faculdade de Tecnologia de Cotia (FATEC COTIA),FATEC COTIA,4616-3284,http://www.fateccotia.edu.br/,f270dir@cps.sp.gov.br,Rua Nelson Raineri - 700 - CEP: 06702-155 - Recanto Vista Alegre,Cotia,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2014-01-08,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,18099,Faculdade de Tecnologia de Diadema Luigi Papaiz (FATEC DIADEMA),FATEC DIADEMA,11 4092-2328,http://www.fatecdiadema.com.br/,f217dir@cps.sp.gov.br,Avenida Luiz Merenda - 503 - CEP: 09931-390 - Campanário,Diadema,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2009-09-01,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,23700,Faculdade de Tecnologia de Ferraz de Vasconcelos,-,4674-2594,http://fatecferraz.edu.br/,f292dir@cps.sp.gov.br,Rua Carlos de Carvalho - 200 - CEP: 08545-120 - Jardim São João,Ferraz de Vasconcelos,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2018-03-09,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,23705,FACULDADE DE TECNOLOGIA DE FRANCO DA ROCHA,-,11 4449 2007,fatecfrancodarocha.edu.br,f294dir@cps.sp.gov.br,Rodovia Luiz Salomão Chama - 41 - CEP: 07857-050 - Vila Ramos,Franco da Rocha,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2018-03-22,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,4021,FACULDADE DE TECNOLOGIA DE GARÇA (FATECGA),FATECGA,14-34714723,www.fatecgarca.edu.br,f119dir@cps.sp.gov.br,Av. Presidente Vargas - 2331 - CEP: 17400-000 - Vila José Ribeiro,Garça,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2004-01-07,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,1584,FACULDADE DE TECNOLOGIA DE GUARATINGUETÁ (FATEC GT),FATEC GT,31262643,www.fatecguaratingueta.edu.br,diretoria@fatecguaratingueta.edu.br,Avenida Professor João Rodrigues Alckimin - 1501 - CEP: 12517-010 - Jardim Esperança,Guaratinguetá,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1994-09-22,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15752,Faculdade de Tecnologia de Guarulhos (FATEC GR),FATEC GR,(11) 2229-0392,www.fatecguarulhos.edu.br,f167dir@cps.sp.gov.br,Rua Cristobal Claudio Elillo - 88 - CEP: 07190-065 - Parque Cecap,Guarulhos,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2007-12-12,-,,-,,4,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,1583,FACULDADE DE TECNOLOGIA DE INDAIATUBA (FATEC-ID),FATEC-ID,(19) 3885-1923,www.fatecindaiatuba.edu.br,f105dir@cps.sp.gov.br,Rua Dom Pedro I - 65 - CEP: 13334-100 - Cidade Nova I,Indaiatuba,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1994-10-05,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15693,Faculdade de Tecnologia de Itapetininga - Prof.Antônio Belizandro Barbosa Rezende (Fatec - Itapetininga),Fatec - Itapetininga,15-32721165,www.fatecitapetininga.edu.br,f131dir@cps.sp.gov.br,Rua João Vieira Camargo - 104 - CEP: 18205-600 - Vila Barth,Itapetininga,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2006-03-03,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,19864,Faculdade de Tecnologia de Itapira (FATEC Itapira),FATEC Itapira,19 3863-5210,www.fatecitapira.edu.br,f278acad@cps.sp.gov.br; daniela.trani@fatec.sp.gov.br,Rua Tereza Lera Paoletti - 590 - CEP: 13974-080 - Jardim Bela Vista,Itapira,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2014-04-11,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15639,Faculdade de Tecnologia de Itaquaquecetuba (Fatec Itaqua),Fatec Itaqua,(11)46475226,www.fatecitaqua.edu.br,f155dir@cps.sp.gov.br,Av. Itaquaquecetuba - 711 - CEP: 08500-000 - Vila Monte Belo,Itaquaquecetuba,SP,Faculdade,,Publica,Pública Estadual,,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,17977,Faculdade de Tecnologia de Itaquera (FATEC ITAQUERA),FATEC ITAQUERA,(011) 2056-4347/4245,http://www.fatecitaquera.edu.br,f257dir@cps.sp.gov.br,Avenida Miguel Ignácio Curi - s/n - CEP: 08295-005 - Vila Carmosina,São Paulo,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2011-12-28,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,22319,Faculdade de Tecnologia de Itatiba (Fatec Itatiba),Fatec Itatiba,11 4524-3221,http://www.fatecdeitatiba.edu.br,f286dir@cps.sp.gov.br,Rua Daniel Peçanha de Moraes - 220 - CEP: 13251-140 - Jardim Salessi,Itatiba,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2016-02-03,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,17952,Faculdade de Tecnologia de Jacareí (FATEC Jacareí),FATEC Jacareí,12 3953 7926,www.fatecjacarei.com.br,f258dir@cps.gov.br,Avenida Faria Lima - 155 - CEP: 12328-070 - Jardim Santa Maria,Jacareí,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2012-02-03,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,37,FACULDADE DE TECNOLOGIA DE JAHU (FATEC-JAHU),FATEC-JAHU,14 3622-8280,www.fatecjahu.edu.br,f020editais@cps.sp.gov.br,Rua Frei Galvão - S/N - CEP: 17212-599 - JARDIM PEDRO OMETTO,Jaú,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1990-02-24,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15769,Faculdade de Tecnologia de Jales (Fatec Jales),Fatec Jales,17 3621-6911,www.fatecjales.edu.br,171dir@cps.sp.go.br,Rua Vicente Leporace - 2630 - CEP: 15703-116 - Jardim Trianon,Jales,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2007-09-03,-,,-,,4,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,4022,FACULDADE DE TECNOLOGIA DE JUNDIAÍ (FATEC/JD),FATEC/JD,11 45227549,www.fatecjd.edu.br,f114.secretaria@fatec.sp.gov.br,Avenida União dos Ferroviários - 1760 - CEP: 13201-160 - Centro,Jundiaí,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2002-07-19,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,24672,"Faculdade de Tecnologia de Matão ""Luiz Marchesan""",-,(16) - 20162694,www.fatecmatao.edu.br,f297dir@cps.sp.gov.br,Avenida Habib Gabriel - 1360 - CEP: 15990-539 - Residencial das Acácias,Matão,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2019-02-12,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,4023,FACULDADE DE TECNOLOGIA DE MAUÁ (FATEC MAUÁ),FATEC MAUÁ,(11) 4543 32 21,www.fatecmaua.com.br,f.maua.adm@centropaulasouza.sp.gov.br,Avenida Antônia Rosa Fioravanti - 804 - CEP: 09390-120 - Jardim Rosina,Mauá,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2002-07-19,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,4024,FACULDADE DE TECNOLOGIA DE MOCOCA (FATEC),FATEC,(19) 3656 5559 - 3665 6005,https://www.fatecmococa.edu.br/,f120acad@cps.sp.gov.br,Avenida Américo Pereira Lima - S/N - CEP: 13736-260 - Jardim Lavínia,Mococa,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2004-01-07,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15576,Faculdade de Tecnologia de Mogi das Cruzes (FATEC-MC),FATEC-MC,11 4699.2799,www.fatecmogidascruzes.com.br,f184acad@cps.sp.gov.br,Rua Carlos Baratino - 01 - CEP: 08773-600 - Vila Mogilar,Mogi das Cruzes,SP,Faculdade,,Publica,Pública Estadual,,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15709,Faculdade de Tecnologia de Osasco - Prefeito Hirant Sanazar (Fatec Osasco),Fatec Osasco,(11)36560203,,f.osasco.ata@centropaulasouza.sp.gov.br,Rua Pedro Rissatto - 30 - CEP: 06296-220 - Remédios,Osasco,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2009-09-02,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,1874,FACULDADE DE TECNOLOGIA DE OURINHOS (FATEC),FATEC,14 3324 3986,www.fatecourinhos.edu.br,f021acad@cps.sp.gov.br,Avenida Vitalina Marcusso - 1400 - CEP: 19910-206 - Campus Universitário,Ourinhos,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,1991-10-15,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15687,Faculdade de Tecnologia de Pindamonhangaba (FATEC PI),FATEC PI,(12)36488756,www.fatecpindamonhangaba.edu.br,f133acad@cps.sp.gov.br,Rodovia Abel Fabrício Dias - 4010 - CEP: 12455-010 - Água Preta,Pindamonhangaba,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2008-04-10,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15682,Faculdade de Tecnologia de Piracicaba (Fatec Piracicaba),Fatec Piracicaba,(19) 3413-1702,www.fatecpiracicaba.edu.br,f175dir@cps.sp.gov.br,Rua Diácono Jair de Oliveira - 651 - CEP: 13414-155 - Santa Rosa,Piracicaba,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2008-11-05,-,,-,,4,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,17953,Faculdade de Tecnologia de Pompeia - Shunji Nishimura (FATEC Pompeia),FATEC Pompeia,(14)3452-1482,www.fatecpompeia.edu.br,nathalha.may@fatec.sp.gov.br,Av. Fundação Shunji Nishimura e Tecnologia - 605 - CEP: 17580-000 - Distrito Industrial,Pompéia,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2012-04-24,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,4926,FACULDADE DE TECNOLOGIA DE PRAIA GRANDE (FATECPG),FATECPG,13 35916968,fatecpg.com.br,,Praça 19 de Janeiro - 144 - CEP: 11700-100 - Boqueirão,Praia Grande,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2006-03-03,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,5627,FACULDADE DE TECNOLOGIA DE PRESIDENTE PRUDENTE (FATEC),FATEC,1839167887,www.fatecpp.edu.br,f157.secretaria@fatec.sp.gov.br,Rua Teresina - 75 - CEP: 19046-230 - Vila Paulo Roberto,Presidente Prudente,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2006-12-06,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,28985,Faculdade de Tecnologia de Registro (FATEC-REG),FATEC-REG,(13) 2130-5455,https://fatecregistro.cps.sp.gov.br/,f299dir@cps.sp.gov.br,AV. CLARA GIANOTTI DE SOUZA - 257 - CEP: 11900-000 - CENTRO,Registro,SP,Faculdade de Tecnologia,Presencial - Superior,Publica,Pública Estadual,2022-03-26,-,,-,,-,,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,20478,Faculdade de Tecnologia de Santana de Parnaíba (FATEC-SPB),FATEC-SPB,(11) 2424 2757,www.fatecsdp.edu.br,f283acad@cps.sp.gov.br,Estrada Tenente Marques - s/n - CEP: 06529-001 - Jardim do Luar (Fazendinha),Santana de Parnaíba,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2015-02-07,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,5099,FACULDADE DE TECNOLOGIA DE SÃO BERNARDO DO CAMPO (FATEC-SB),FATEC-SB,(11) 4121-9008,www.fatecsbc.edu.br,f126dir@cps.sp.gov.br,Avenida Pereira Barreto - 400 - CEP: 09751-000 - Vila Baeta Neves,São Bernardo do Campo,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2005-07-30,-,,-,,3,2016,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,15745,Faculdade de Tecnologia de São Caetano do Sul (FATEC SCS),FATEC SCS,11 42329552,www.fatecsaocaetano.edu.br,f168dir@cps.sp.gov.br,Rua Bell Aliance - 225 - CEP: 09581-420 - Jardim São Caetano,São Caetano do Sul,SP,Faculdade,EAD - Superior / Presencial - Superior,Publica,Pública Estadual,2008-04-29,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,19500,Faculdade de Tecnologia de São Carlos (FATEC São Carlo),FATEC São Carlo,(16) 3307-7545,www.fatecsaocarlos.edu.br,f269dir@cps.sp.gov.br,Rua Marechal Deodoro - 3183 - CEP: 13560-201 - Chácara Parollo,São Carlos,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2013-12-11,-,,-,,3,2021,,,,Ativa
33,CENTRO ESTADUAL DE EDUCACAO TECNOLOGICA PAULA SOUZA,62.823.257/0001-09,Pessoa Jurídica de Direito Público - Estadual,4025,FACULDADE DE TECNOLOGIA DE SÃO JOSÉ DO RIO PRETO (FATECRP),FATECRP,(17) 3219-1433,www.fatecriopreto.edu.br,f121acad@cps.sp.gov.br,Rua Fernandópolis - 2510 - CEP: 15043-020 - Eldorado,São José do Rio Preto,SP,Faculdade,Presencial - Superior,Publica,Pública Estadual,2004-01-07,-,,-,,3,2021,,,,Ativa
